run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	read_count	base_count	fastq_bytes	fastq_md5	fastq_ftp	sra_ftp	bam_ftp
SRR28210371	SAMN40244569	SRX23822630	PRJNA1083304	408170	human gut metagenome	37471042	11241312600	2162597793;2164274822	04a9ec69c876bd7fb0c57327c4060689;5e76783b2e18547f889480d5db21a519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/071/SRR28210371/SRR28210371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/071/SRR28210371/SRR28210371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/071/SRR28210371/SRR28210371.lite	
SRR28210373	SAMN40244567	SRX23822628	PRJNA1083304	408170	human gut metagenome	36479659	10943897700	2112306482;2113884497	e79d6872fee6e6b1d79b9c2cc9100895;82ad6a0034cac1a3f5b76365a6f34d18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/073/SRR28210373/SRR28210373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/073/SRR28210373/SRR28210373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/073/SRR28210373/SRR28210373.lite	
SRR28210374	SAMN40244566	SRX23822627	PRJNA1083304	408170	human gut metagenome	37426820	11228046000	2173228666;2174918460	0ae75693a4b6301cf0f1ad4bef15e812;445c64db4d9bab69706a52a954d40aba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/074/SRR28210374/SRR28210374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/074/SRR28210374/SRR28210374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/074/SRR28210374/SRR28210374.lite	
SRR28210375	SAMN40244565	SRX23822626	PRJNA1083304	408170	human gut metagenome	35009636	10502890800	2032273546;2034692772	4c4e0e3c3aca2e3bbf7b5127c953b1b4;66b6260a402f6647425388ed5bce8ef5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/075/SRR28210375/SRR28210375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/075/SRR28210375/SRR28210375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/075/SRR28210375/SRR28210375.lite	
SRR28210379	SAMN40244561	SRX23822622	PRJNA1083304	408170	human gut metagenome	68030016	20409004800	3961314606;3963516438	4d49571e5692529f0fa52bf6945a96b7;ec7dadd0ea0f7cbc905a060d175ce12b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/079/SRR28210379/SRR28210379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/079/SRR28210379/SRR28210379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/079/SRR28210379/SRR28210379.lite	
SRR28210380	SAMN40244552	SRX23822621	PRJNA1083304	408170	human gut metagenome	70740343	21222102900	4121739359;4122831392	06d1b304de7ff6e1e96fce20570f14e5;bae02b1a4d5b0ea9817d45d244af82ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/080/SRR28210380/SRR28210380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/080/SRR28210380/SRR28210380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/080/SRR28210380/SRR28210380.lite	
SRR28210342	SAMN40244560	SRX23822659	PRJNA1083304	408170	human gut metagenome	62290558	18687167400	3622483957;3623395508	31fe0b28baf39040a306198b266b656d;34fe65f86beaa62925d337d9de8350a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/042/SRR28210342/SRR28210342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/042/SRR28210342/SRR28210342_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/042/SRR28210342/SRR28210342.lite	
SRR28210344	SAMN40244558	SRX23822657	PRJNA1083304	408170	human gut metagenome	66640278	19992083400	3874951014;3875893826	493d5c1a45cc4e35ccdb816ebb2b23eb;67b9410412f2b05bee3ac10d0997008f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/044/SRR28210344/SRR28210344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/044/SRR28210344/SRR28210344_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/044/SRR28210344/SRR28210344.lite	
SRR28210345	SAMN40244557	SRX23822656	PRJNA1083304	408170	human gut metagenome	63755706	19126711800	3708119091;3709583606	589807b38b3ddb140ceb128e782225eb;091252d4d9bf3fd2c7b1ee4dd45c7d2b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/045/SRR28210345/SRR28210345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/045/SRR28210345/SRR28210345_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/045/SRR28210345/SRR28210345.lite	
SRR28210349	SAMN40244589	SRX23822652	PRJNA1083304	408170	human gut metagenome	34040233	10212069900	1975588605;1977215609	2515b98703087e59e0b6ed911db3fab8;f6ca01d0ea550e7159a1b257774a6b13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/049/SRR28210349/SRR28210349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/049/SRR28210349/SRR28210349_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/049/SRR28210349/SRR28210349.lite	
SRR28210350	SAMN40244588	SRX23822651	PRJNA1083304	408170	human gut metagenome	35200640	10560192000	2046532123;2048141747	4f3bbec6c2a32ad08facd47d2c887856;957ca42a05757eb8703ef4e61c3c6047	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/050/SRR28210350/SRR28210350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/050/SRR28210350/SRR28210350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/050/SRR28210350/SRR28210350.lite	
SRR28210357	SAMN40244581	SRX23822644	PRJNA1083304	408170	human gut metagenome	37056286	11116885800	2148630807;2149853104	94e7f862d00e1b3774525c273a3cc4d8;c2bdf32a051e80fb9a4532373f9e252f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/057/SRR28210357/SRR28210357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/057/SRR28210357/SRR28210357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/057/SRR28210357/SRR28210357.lite	
SRR28210363	SAMN40244576	SRX23822638	PRJNA1083304	408170	human gut metagenome	36483298	10944989400	2109244705;2110921905	2d862e5cdd8a4aec76233b634e17e0a4;b31a8d21e043b812da14016d2787922f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/063/SRR28210363/SRR28210363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/063/SRR28210363/SRR28210363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/063/SRR28210363/SRR28210363.lite	
SRR28210365	SAMN40244574	SRX23822636	PRJNA1083304	408170	human gut metagenome	37813999	11344199700	2181836630;2183724362	eaadc8874df665a2622c7723011d5b99;814e6fe409b559101c45f21817924dc1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/065/SRR28210365/SRR28210365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/065/SRR28210365/SRR28210365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/065/SRR28210365/SRR28210365.lite	
SRR28210367	SAMN40244572	SRX23822634	PRJNA1083304	408170	human gut metagenome	36369676	10910902800	2103676778;2105786207	03bb2d65c13406ea15d3ad18032e573d;9ed65dbd2f1236833d3de40757ae1659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/067/SRR28210367/SRR28210367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/067/SRR28210367/SRR28210367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/067/SRR28210367/SRR28210367.lite	
SRR28210370	SAMN40244570	SRX23822631	PRJNA1083304	408170	human gut metagenome	36050536	10815160800	2090748682;2092356149	a33f85c3daa4a92273b5b2aeae6dd37c;8e84c2248771c7a033936ad4997ae6ba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/070/SRR28210370/SRR28210370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/070/SRR28210370/SRR28210370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/070/SRR28210370/SRR28210370.lite	
SRR28210376	SAMN40244564	SRX23822625	PRJNA1083304	408170	human gut metagenome	38994354	11698306200	2260216825;2262382192	37de631d81ed49fcc0fdfd2bc0fc78b6;2435885e7e69bd8f8ffecc1db16f97cc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/076/SRR28210376/SRR28210376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/076/SRR28210376/SRR28210376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/076/SRR28210376/SRR28210376.lite	
SRR28210377	SAMN40244563	SRX23822624	PRJNA1083304	408170	human gut metagenome	36875344	11062603200	2140415551;2141991975	6a13cd9df449028c8b90c6116a2af1be;dd1559ee341b69975b4459cf53d4946d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/077/SRR28210377/SRR28210377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/077/SRR28210377/SRR28210377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/077/SRR28210377/SRR28210377.lite	
SRR28210378	SAMN40244562	SRX23822623	PRJNA1083304	408170	human gut metagenome	62861087	18858326100	3654748956;3655820131	e4e38472b04083677264387bf585028f;7e7f1a092f234ff75a62367d88c0961a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/078/SRR28210378/SRR28210378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/078/SRR28210378/SRR28210378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/078/SRR28210378/SRR28210378.lite	
SRR28210343	SAMN40244559	SRX23822658	PRJNA1083304	408170	human gut metagenome	71594557	21478367100	4170700141;4171991103	33dc398cb1fbd80199ca96d80c3fa1d1;d9afbddb52a146a2eb542ad7dde4e5da	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/043/SRR28210343/SRR28210343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/043/SRR28210343/SRR28210343_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/043/SRR28210343/SRR28210343.lite	
SRR28210348	SAMN40244590	SRX23822653	PRJNA1083304	408170	human gut metagenome	37268048	11180414400	2160542124;2162099387	5781ce545c644b32a028f3a86ff26cc3;d571dead7bc9db0ad12fa238c6121ea3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/048/SRR28210348/SRR28210348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/048/SRR28210348/SRR28210348_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/048/SRR28210348/SRR28210348.lite	
SRR28210352	SAMN40244586	SRX23822649	PRJNA1083304	408170	human gut metagenome	35320971	10596291300	2053925711;2055112855	4011d84b1f5b58d50876328058fa3153;afcc9a50866ec6a97881553d4be9d1fc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/052/SRR28210352/SRR28210352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/052/SRR28210352/SRR28210352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/052/SRR28210352/SRR28210352.lite	
SRR28210354	SAMN40244584	SRX23822647	PRJNA1083304	408170	human gut metagenome	41234504	12370351200	2394119799;2396538005	14dba5e64dab75a0d0de7e7c1d75ff3b;a915d5d8e7c2f5eb09021883a64dc5c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/054/SRR28210354/SRR28210354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/054/SRR28210354/SRR28210354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/054/SRR28210354/SRR28210354.lite	
SRR28210356	SAMN40244582	SRX23822645	PRJNA1083304	408170	human gut metagenome	37312599	11193779700	2166524152;2168360472	ccfcc7318b013a737a8bcf0539e182ec;f0b2158213342bc8f0cf778c7e8b24b0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/056/SRR28210356/SRR28210356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/056/SRR28210356/SRR28210356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/056/SRR28210356/SRR28210356.lite	
SRR28210359	SAMN40244580	SRX23822642	PRJNA1083304	408170	human gut metagenome	35393961	10618188300	2054917485;2056521093	329463f67b62a9ec78a33d9f2f4b2b3e;80b9fe0edffece05c341c92b237774d9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/059/SRR28210359/SRR28210359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/059/SRR28210359/SRR28210359_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/059/SRR28210359/SRR28210359.lite	
SRR28210360	SAMN40244579	SRX23822641	PRJNA1083304	408170	human gut metagenome	34235193	10270557900	1987382429;1988800979	f811735214ec0e5984622ad505fc0ac0;9846a73828a7ed97016cc6a20242b892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/060/SRR28210360/SRR28210360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/060/SRR28210360/SRR28210360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/060/SRR28210360/SRR28210360.lite	
SRR28210361	SAMN40244578	SRX23822640	PRJNA1083304	408170	human gut metagenome	36932379	11079713700	2144699015;2146339714	54cc4b47c10650f91bf47494938131dd;e8ef0c39ad88b26dd2c407af18611752	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/061/SRR28210361/SRR28210361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/061/SRR28210361/SRR28210361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/061/SRR28210361/SRR28210361.lite	
SRR28210364	SAMN40244575	SRX23822637	PRJNA1083304	408170	human gut metagenome	37031842	11109552600	2138294453;2139576739	a8e072c2c05a1c8a610a0bdce6a31197;6eda5cc38de75a1c6610f27f5cde2d0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/064/SRR28210364/SRR28210364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/064/SRR28210364/SRR28210364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/064/SRR28210364/SRR28210364.lite	
SRR28210372	SAMN40244568	SRX23822629	PRJNA1083304	408170	human gut metagenome	40223573	12067071900	2333659086;2335934844	8569fa70777de2c3524141c5828023b4;8101ab28b9702eb136e184e689840783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/072/SRR28210372/SRR28210372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/072/SRR28210372/SRR28210372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/072/SRR28210372/SRR28210372.lite	
SRR28210381	SAMN40244551	SRX23822620	PRJNA1083304	408170	human gut metagenome	68859759	20657927700	4007231483;4010135276	bb9c17854420ad55eeb6ca0e8556692b;483f124b9aa0b4a734e0925db820e464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/081/SRR28210381/SRR28210381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/081/SRR28210381/SRR28210381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR282/081/SRR28210381/SRR28210381.lite	
